elapsed_s,cpu_percent,rss_mb
8.269998943433166e-07,0.0,137.531392
0.25363128099979804,0.0,137.531392
0.5056035970001176,27.8,137.633792
0.7569573330001731,107.4,138.571776
1.008512102000168,79.5,139.292672
1.2599452670001483,87.5,139.833344
1.5113781800000652,83.5,139.833344
1.7628099929997916,75.6,140.324864
2.0143089390003297,47.7,141.942784
2.265795758000422,0.0,141.942784
2.517298243999903,0.0,141.942784
2.7688239460003388,0.0,141.942784
3.0203938340000605,0.0,141.942784
3.272018657999979,0.0,141.942784
3.5235093080000297,0.0,141.942784
3.775047684999663,0.0,141.942784
4.026604315999975,0.0,141.942784
4.278193508000186,0.0,141.942784
4.529695226000513,0.0,141.942784
4.7813449020004555,0.0,141.942784
5.032873105000363,0.0,141.942784
5.284556964999865,0.0,141.942784
5.536170358999698,0.0,141.942784
5.7877014559999225,0.0,141.942784
6.039341521999631,0.0,141.942784
6.29086358800032,0.0,141.942784
6.542380318000141,0.0,141.942784
6.79397541399976,0.0,141.942784
7.045513928000219,0.0,141.942784
7.297132446999967,0.0,141.942784
7.548706239000239,0.0,141.942784
7.800269241000024,0.0,141.942784
8.051975541000502,0.0,141.942784
8.303570427000523,0.0,141.942784
8.555489256000328,0.0,141.942784
8.807107050000013,0.0,141.942784
9.058808116999899,0.0,141.942784
9.310323849999804,0.0,141.942784
9.562798099999782,0.0,141.942784
9.814326081000218,15.9,106.737664
10.065843370000039,0.0,106.737664
10.317554455999925,11.9,96.436224
10.569097927999792,0.0,96.436224
10.82059376899997,0.0,96.436224
11.072211056000015,11.9,96.677888
11.32379506899997,0.0,96.677888
11.575378429000011,0.0,96.677888
11.82695674200022,0.0,96.677888
12.078593236000415,0.0,96.677888
12.330219776000376,0.0,96.677888
12.581768072000159,0.0,96.677888
12.833274651000465,0.0,96.677888
13.084816399999909,0.0,96.677888
13.336395969000478,0.0,96.677888
13.587967749999734,0.0,96.677888
13.839545353000176,0.0,96.677888
14.09109688799981,0.0,96.677888
14.342639737000354,0.0,96.677888
14.594163726999795,0.0,96.677888
14.84576850600024,0.0,96.677888
15.097262577000038,0.0,96.677888
15.348758727000131,0.0,96.677888
15.60043026800031,0.0,96.677888
15.851907580999978,0.0,96.677888
16.103549325999666,0.0,96.677888
16.3550440730005,0.0,96.677888
16.606572910000068,0.0,96.677888
16.858079450999867,0.0,96.677888
17.109565783000107,0.0,96.677888
17.361130895000315,0.0,96.677888
17.61262664700007,0.0,96.677888
17.864180812000086,0.0,96.677888
18.115691486999822,0.0,96.677888
18.36720311800036,0.0,96.677888
18.61874328399972,0.0,96.677888
18.87045968700022,0.0,96.677888
19.12206741800037,0.0,96.677888
19.373570933000337,0.0,96.677888
19.625187771999663,0.0,96.677888
19.87672253599976,0.0,96.677888
20.128391762999854,0.0,96.677888
20.3800190689999,0.0,96.677888
20.631646624000496,0.0,96.677888
20.883233698000367,0.0,96.677888
21.13483961499969,0.0,96.677888
21.386339726000188,0.0,96.677888
21.637910983999973,0.0,96.677888
21.889419776000068,0.0,96.677888
22.141087101000267,0.0,96.677888
22.392574276000232,0.0,96.677888
22.644257537999692,0.0,96.677888
22.89574999100023,0.0,96.677888
23.147333640999932,0.0,96.677888
23.398914428000353,0.0,96.677888
23.65053116800027,0.0,96.677888
23.90206711599967,0.0,96.677888
24.153555034999954,0.0,96.677888
24.403934916000253,0.0,96.677888
24.655613412999628,0.0,96.677888
24.90716336800051,0.0,96.677888
25.15884911000012,0.0,96.677888
25.410438380000414,0.0,96.677888
25.661999496000135,0.0,96.677888
25.913516945000083,0.0,96.677888
26.165024675000495,0.0,96.677888
26.416522385000462,0.0,96.677888
26.668161665999833,0.0,96.677888
26.919704193999678,0.0,96.677888
27.171230126999944,0.0,96.677888
27.422805879000407,0.0,96.677888
27.6744302420002,0.0,96.677888
27.92598550100047,0.0,96.677888
28.177583616999982,0.0,96.677888
28.42923404300018,0.0,96.677888
28.680736051999702,0.0,96.677888
28.9322251399999,0.0,96.677888
29.18371237700012,0.0,96.677888
29.435240534000513,0.0,96.677888
29.68574335500034,0.0,96.677888
29.937232776999736,0.0,96.677888
